Address,City,Neighborhood,Market,Zip Code,Space type,Total Space Available,Lease Rate
"10580 Colonial Boulevard, Fort Myers, FL 33913","Fort Myers, FL",Colonial Country Club,,"
                33913
            ",Retail - Neighborhood Center," 69,475 Sqft",Contact for pricing
"135 E. Badillo St, Covina, CA 91723","Covina, CA",Covina,Eastern Los Angeles County,"
                91723
            ",Retail," 16,000 Sqft",$3 - $3.5/Sqft/Month
"94-24 Van Wyck Expressway, Queens, NY 11419","Queens, NY",Richmond Hill,,"
                11419
            ",Retail," 1,000 Sqft",Contact for pricing
"212 West 35th Street, New York, NY 10001","New York, NY",Garment District,Manhattan,"
                10001
            ",Office," 77,067 Sqft",Contact for pricing
"1245 Merritt Boulevard, Dundalk, MD 21222","Dundalk, MD",Dundalk,,"
                21222
            ",Retail - Neighborhood Center," 90,695 Sqft",Contact for pricing
"37 West 26th Street, New York, NY 10010","New York, NY",NoMad,Manhattan,"
                10010
            ",Office," 122,630 Sqft",Contact for pricing
"9200 West State Road 84, Davie, FL 33324","Davie, FL",Pine Island Ridge,,"
                33324
            ",Retail - Neighborhood Center," 155,204 Sqft",Contact for pricing
"115 W 30th St, New York, NY 10001","New York, NY",Chelsea,,"
                10001
            ",Office," 151,525 Sqft",Contact for pricing
"589 8th Avenue, New York, NY 10018","New York, NY",Garment District,Manhattan,"
                10018
            ",Office," 115,000 Sqft",Contact for pricing
"481 Main St, Waltham, MA 02452","Waltham, MA",Central Weltham,Suburban Boston,"
                02452
            ",Office," 1,100 Sqft",Contact for pricing
"8761 Piney Orchard Parkway, Odenton, MD 21113","Odenton, MD","
                21113
            ",,,Retail - Neighborhood Center," 73,218 Sqft",Contact for pricing
"303 5th Avenue, New York, NY 10016","New York, NY",NoMad,Manhattan,"
                10016
            ",Office," 160,454 Sqft",$4.33 - $52.03/Sqft/Year
"7311 Governor Ritchie Highway, Glen Burnie, MD 21061","Glen Burnie, MD","
                21061
            ",,,Retail - Neighborhood Center," 129,242 Sqft",Contact for pricing
"1637 Thames Street, Baltimore, MD 21231","Baltimore, MD",Fells Point,,"
                21231
            ",Mixed Use - Office / Retail," 104,000 Sqft",Contact for pricing
"900 Broadway, New York, NY 10003","New York, NY",Flatiron District,Manhattan,"
                10003
            ",Office - Office Building," 115,000 Sqft",Contact for pricing
"44 east 32 street, New York, NY 10016","New York, NY",NoMad,Manhattan,"
                10016
            ",Office," 83,623 Sqft",Contact for pricing
"South Highway 27, Clermont, FL","Clermont, FL",,,,Retail," 64,707 Sqft",Contact for pricing
"248 West 35th Street, New York, NY 10001","New York, NY",Garment District,Manhattan,"
                10001
            ",Office," 133,948 Sqft",$35/Sqft/Year
"147 West 35th Street, New York, NY 10001","New York, NY",Garment District,,"
                10001
            ",Office," 100,000 Sqft","$1,760 - $3,150/Month"
"946 Orleans Road, Charleston, SC 29407","Charleston, SC",Dupont Area - Orleans,,"
                29407
            ",Retail - Neighborhood Center," 136,242 Sqft",Contact for pricing
"5893 Center Rd. Valley City, Valley City, OH 44280","Valley City, OH",Liverpool,Cleveland Akron,"
                44280
            ",Industrial," 9,604 Sqft",$4/Sqft/Year
"147 West 35th Street, New York, NY 10001","New York, NY",Garment District,Manhattan,"
                10001
            ",Office - Office Building," 99,184 Sqft",Contact for pricing
"11029 West Colonial Drive, Ocoee, FL 34761","Ocoee, FL",Ocoee,,"
                34761
            ",Retail - Neighborhood Center," 126,374 Sqft",Contact for pricing
"115 West 30th Street, New York, NY 10001","New York, NY",Chelsea,Manhattan,"
                10001
            ",Office," 151,525 Sqft",$42/Sqft/Year
"45 East Broadway, New York, NY 10002","New York, NY",Two Bridges,Manhattan,"
                10002
            ",Office," 11,540 Sqft","$7,000 - $7,500/Month"
"127 West 26th Street, New York, NY 10001","New York, NY",Chelsea,Manhattan,"
                10001
            ",Office," 92,970 Sqft",$42 - $47/Sqft/Year
"333 West 39th Street, New York, NY 10018","New York, NY",Garment District,Manhattan,"
                10018
            ",Office," 105,000 Sqft",Contact for pricing
"9200 West State Road 84, Davie, FL 33324","Davie, FL",Pine Island Ridge,,"
                33324
            ",Retail - Neighborhood Center," 155,204 Sqft",Contact for pricing
"866 United Nations Plaza, New York, NY 10017","New York, NY",Turtle Bay,Manhattan,"
                10017
            ",Office," 471,000 Sqft",$70/Sqft/Year
"111 John Street, New York, NY 10038","New York, NY",Financial District,Manhattan,"
                10038
            ",Office," 298,776 Sqft",$38 - $40/Sqft/Year
"50 Harrison Street, Hoboken, NJ 07030","Hoboken, NJ",Soho West,Northern New Jersey,"
                07030
            ",Office - Office Building," 78,000 Sqft",Contact for pricing
"1407 Clarkview Road, Baltimore, MD 21209","Baltimore, MD",Towson,,"
                21209
            ",Retail - Neighborhood Center," 8,269 Sqft",Contact for pricing
"1423 1424 1425 1427 Clarkview Road, Baltimore, MD 21209","Baltimore, MD",Towson,,"
                21209
            ",Office - Office-Business Park," 225,000 Sqft",Contact for pricing
"111 Broadway, Nashville, TN 37201","Nashville, TN",SoBro,Nashville,"
                37201
            ",Mixed Use," 50,303 Sqft",Contact for pricing
"94-24 Van Wyck Expressway, Queens, NY 11419","Queens, NY",Richmond Hill,,"
                11419
            ",Retail," 1,000 Sqft",Contact for pricing
"6300 Georgetown Boulevard, Sykesville, MD 21784","Sykesville, MD",Eldersburg,,"
                21784
            ",Retail - Neighborhood Center," 129,541 Sqft",Contact for pricing
"7311 Governor Ritchie Highway, Glen Burnie, MD 21061","Glen Burnie, MD","
                21061
            ",,,Retail - Neighborhood Center," 129,242 Sqft",Contact for pricing
"32 W 28th St, New York, NY 10001","New York, NY",NoMad,Manhattan,"
                10001
            ",Office," 8,476 Sqft",$44/Sqft/Year
"153 W 27th St, New York, NY 10001","New York, NY",Chelsea,,"
                10001
            ",Office," 106,920 Sqft",$118.81/Sqft/Year
"325 West 38th Street, New York, NY 10018","New York, NY",Garment District,Manhattan,"
                10018
            ",Office," 110,188 Sqft",Contact for pricing
"129 West 27th Street, New York, NY 10001","New York, NY",Chelsea,Manhattan,"
                10001
            ",Office," 84,745 Sqft",$24 - $35/Sqft/Year
"946 Orleans Road, Charleston, SC 29407","Charleston, SC",Dupont Area - Orleans,,"
                29407
            ",Retail - Neighborhood Center," 136,242 Sqft",Contact for pricing
"213 West 35th Street, New York, NY 10001","New York, NY",Garment District,,"
                10001
            ",Office," 200,000 Sqft",$40/Sqft/Year
"1239 Broadway, New York, NY 10001","New York, NY",NoMad,Manhattan,"
                10001
            ",Office," 147,070 Sqft",$126.32/Sqft/Year
"8761 Piney Orchard Parkway, Odenton, MD 21113","Odenton, MD","
                21113
            ",,,Retail - Neighborhood Center," 73,218 Sqft",Contact for pricing
"1421 Clarkview Road, Baltimore, MD 21209","Baltimore, MD",Towson,,"
                21209
            ",Office - Office-Business Park," 55,000 Sqft",Contact for pricing
"2100 Tamiami Trail North, Naples, FL 34102","Naples, FL",Sun Terrace,,"
                34102
            ",Retail - Neighborhood Center," 64,862 Sqft",Contact for pricing
"94 9th Street, Brooklyn, NY 11215","Brooklyn, NY",Gowanus,Brooklyn,"
                11215
            ",Office," 200,000 Sqft","$850 - $5,800/Month"
"147 West 35th Street, New York, NY 10001","New York, NY",Garment District,Manhattan,"
                10001
            ",Office," 106,000 Sqft","$1,950/Month"
"740 North Collier Boulevard, Marco Island, FL 34145","Marco Island, FL","
                34145
            ",,,Retail - Specialty Center," 51,151 Sqft",Contact for pricing
"261 West 35th Street, New York, NY 10001","New York, NY",Garment District,Manhattan,"
                10001
            ",Office," 114,368 Sqft",$38/Sqft/Year
"9620 U.S. 1, Nottingham, MD 21236","Nottingham, MD",Middle River,,"
                21236
            ",Retail - Neighborhood Center," 47,382 Sqft",Contact for pricing
"600 Fifth Avenue, Naples, FL 34102","Naples, FL",Old Naples,,"
                34102
            ",Retail - Regional Center/Mall," 25,115 Sqft",Contact for pricing
"147 West 35th Street, New York, NY 10001","New York, NY",Garment District,,"
                10001
            ",Office," 100,000 Sqft","$1,760 - $3,150/Month"
"44 east 32 street, New York, NY 10016","New York, NY",NoMad,Manhattan,"
                10016
            ",Office," 83,623 Sqft",Contact for pricing
"325 West 38th Street, New York, NY 10018","New York, NY",Garment District,Manhattan,"
                10018
            ",Office," 110,188 Sqft","$1,550 - $3,100/Month"
"51-02 21st Street, Long Island City, NY 11101","Long Island City, NY",Sunnyside,Queens,"
                11101
            ",Flex Space," 136,500 Sqft","$7,500/Month"
"589 8th Avenue, New York, NY 10018","New York, NY",Garment District,Manhattan,"
                10018
            ",Office," 115,000 Sqft",Contact for pricing
"17850 Garland Groh Boulevard, Hagerstown, MD 21740","Hagerstown, MD","
                21740
            ",,,Retail," 331,833 Sqft",Contact for pricing
"1800 Blankenship Road, West Linn, OR 97068","West Linn, OR",Willamette,Portland,"
                97068
            ",Office," 1,000 Sqft",Contact for pricing
"6515 Dobbin Road, Columbia, MD 21045","Columbia, MD",Columbia,,"
                21045
            ",Retail - Neighborhood Center," 64,091 Sqft",Contact for pricing
"866 Island Park Drive, Charleston, SC 29492","Charleston, SC",Daniel Island,,"
                29492
            ",Mixed Use," 28,894 Sqft",Contact for pricing
"19 West 21st Street, New York, NY 10010","New York, NY",Flatiron District,Manhattan,"
                10010
            ",Office," 113,284 Sqft","$4,958/Month"
"221 W 37th St, New York, NY 10018","New York, NY",Garment District,,"
                10018
            ",Office," 21,180 Sqft","$9,000/Month"
"481 Main St, Waltham, MA 02452","Waltham, MA",Central Weltham,Suburban Boston,"
                02452
            ",Office," 1,100 Sqft",Contact for pricing
"135 E. Badillo St, Covina, CA 91723","Covina, CA",Covina,Eastern Los Angeles County,"
                91723
            ",Retail," 16,000 Sqft",$3 - $3.5/Sqft/Month
